infinitive,class,stress
поду́мать,1,a
перевести́,7,b
сади́ться,4,b
уда́рить,4,a
убива́ть,1,a
уби́ть,11,b
посла́ть,6,b
посыла́ть,1,a
ссо́риться,4,a
скры́ться,12,a
спря́тать,6,a
выбира́ть,1,a
име́ть,1,a
пря́тать,6,a
сжига́ть,1,a
горе́ть,5,b
кра́сить,4,a
блева́ть,2,b
вари́ть,4,c
иска́ть,6,c
па́рить,4,a
пари́ть,4,b
гре́ть,12,a
вызыва́ть,1,a
хва́статься,1,a
кра́сться,7,b
приноси́ть,4,c
храни́ть,4,b
вы́йти,irreg,
ба́ловать,2,a
стро́ить,4,a
строи́ть,4,b
расширя́ть,1,a
ворова́ть,2,a
аблакти́ровать,2,a
абстраги́ровать,2,a
подже́чь,8,b
абсорби́ровать,2,a
абсорби́роваться,2,a
абсолютизи́ровать,2,a
фехтова́ть,2,a
жужжа́ть,5,b
выи́грывать,1,a
победи́ть,4,b
вы́играть,1,a
возглавля́ть,1,a
плева́ть,2,b
вступа́ть,1,a
вступи́ть,4,c
соедини́ться,4,b
присоедини́ться,4,b
опозна́ть,1,a
изуча́ть,1,a
хуе́ть,1,a
купи́ть,4,c
привози́ть,4,c
привезти́,7,b
прийти́,irreg,
вы́ковать,2,a
подкова́ть,2,b
блевану́ть,3,b
пожела́ть,1,a
жела́ть,1,a
объясни́ться,4,b
кра́сть,7,b
теря́ть,1,a
мыча́ть,5,b
гото́вить,4,a
распу́хнуть,3,a
принадлежа́ть,5,b
скача́ть,1,a
принима́ть,1,a
приня́ть,14,c
лежа́ть,5,b
уме́ть,1,a
гна́ть,5,c
покупа́ть,1,a
жда́ть,6,b
остава́ться,13,b
переста́ть,15,a
прие́хать,irreg,
приглаша́ть,1,a
уезжа́ть,1,a
зараба́тывать,1,a
пла́кать,6,a
обсужда́ть,1,a
пугну́ть,3,b
напуга́ть,1,a
испуга́ть,1,a
найти́сь,irreg,
опозда́ть,1,a
досчита́ть,1,a
опа́здывать,1,a
обита́ть,1,a
исче́знуть,3,a
исчеза́ть,1,a
буди́ть,4,c
сдержа́ть,5,c
подержа́ть,5,c
суме́ть,1,a
исправля́ть,1,a
пригласи́ть,4,b
лата́ть,1,a
унасле́довать,2,a
раздели́ть,4,c
допусти́ть,4,c
допуска́ть,1,a
спе́ть,1,a
позвони́ть,4,b
звони́ть,4,b
занима́ться,1,a
спра́шивать,1,a
укра́сть,7,b
чини́ть,4,c
гото́виться,4,a
предава́ть,13,b
преда́ть,irreg,
прома́зать,6,a
