infinitive,class,stress
вника́ть,1,a
дёргать,1,a
заи́мствовать,2,a
вы́пилить,4,a
отста́ть,15,a
поде́лать,1,a
наполня́ть,1,a
вле́зть,7,a
отка́зывать,1,a
влеза́ть,1,a
отказа́ть,6,c
выпи́ливать,1,a
напо́лнить,4,a
твори́ться,4,b
проясня́ть,1,a
сформирова́ть,2,a
формирова́ть,2,a
зарегистри́ровать,2,a
выставля́ть,1,a
привяза́ть,6,c
пресле́довать,2,a
поздоро́ваться,1,a
огляде́ться,5,b
регистри́ровать,2,a
любова́ться,2,a
здоро́ваться,1,a
привя́зывать,1,a
осва́ивать,1,a
прилете́ть,5,b
му́чать,1,a
улета́ть,1,a
задержа́ться,5,c
му́чаться,1,a
кла́няться,1,a
пройти́сь,irreg,
рассе́иваться,1,a
спали́ть,4,b
улете́ть,5,b
му́читься,4,a
поклони́ться,4,c
разверну́ться,3,b
развора́чиваться,1,a
увезти́,7,b
свире́пствовать,2,a
потуши́ть,4,c
почита́ть,1,a
покале́чить,4,a
внима́ть,1,a
подъе́хать,irreg,
уве́нчиваться,1,a
размеща́ться,1,a
проста́ивать,1,a
выска́зывать,1,a
подъезжа́ть,1,a
развора́чивать,1,a
оповести́ть,4,b
марширова́ть,2,a
намы́ливать,1,a
брани́ть,4,b
anneksírovatʹ,2,a
зави́деть,5,a
обы́скивать,1,a
благословля́ть,1,a
изгото́вить,4,a
излови́ть,4,c
доезжа́ть,1,a
расстра́иваться,1,a
огорчи́ться,4,b
пое́здить,4,a
отстраня́ть,1,a
съеда́ть,1,a
восстана́вливать,1,a
повлия́ть,1,a
разойти́сь,irreg,
расходи́ться,4,c
подводи́ть,4,c
вытесня́ть,1,a
промолча́ть,5,b
приступи́ть,4,c
вы́разиться,4,a
оторва́ться,6,b
проноси́ть,4,c
выража́ться,1,a
отрыва́ться,1,a
попали́ть,4,c
зажима́ть,1,a
зажа́ть,14,b
рвану́ть,3,b
прова́ливаться,1,a
провали́ться,4,c
дели́ться,4,c
соску́читься,4,a
диктова́ть,2,a
превраща́ть,1,a
аванси́ровать,2,a
приукра́шивать,1,a
ве́ровать,2,a
выраста́ть,1,a
снижа́ть,1,a
похвали́ть,4,c
приключа́ться,1,a
бази́ровать,2,a
перезнако́мить,4,a
сосредото́чить,4,a
сосредото́читься,4,a
скака́ть,6,c
пересмотре́ть,5,c
отри́нуть,3,a
возмути́ться,4,b
возмуща́ться,1,a
обрести́,7,b
обрета́ть,1,a
залупа́ться,1,a
отыме́ть,1,a
произвести́сь,7,b
вы́ставить,4,a
производи́ться,4,c
заду́мать,1,a
вмеща́ть,1,a
впи́сывать,1,a
заступа́ть,1,a
располага́ться,1,a
распи́сывать,1,a
встра́ивать,1,a
достра́ивать,1,a
пропи́сывать,1,a
заговори́ться,4,b
застра́ивать,1,a
адресова́ть,2,a
надстра́ивать,1,a
увле́чь,8,b
сбере́чь,8,b
вороти́ть,4,c
предприня́ть,14,c
бде́ть,5,b
законопа́тить,4,a
конопа́тить,4,a
возобнови́ться,4,b
отверга́ть,1,a
выса́живаться,1,a
захлестну́ть,3,b
цеди́ть,4,c
отве́ргнуть,3,a
отклони́ть,4,c
че́рпать,1,a
приостана́вливать,1,a
разрыва́ть,1,a
разы́скивать,1,a
таи́ть,4,b
ве́ять,6,a
поставля́ть,1,a
мере́ть,9,b
ку́дить,4,a
засу́шивать,1,a
затрудня́ть,1,a
утомля́ть,1,a
томи́ть,4,b
переубеди́ть,4,b
наложи́ть,4,c
обостря́ть,1,a
раскаля́ть,1,a
цити́ровать,2,a
подава́ться,13,b
насуши́ть,4,c
обусло́вить,4,a
храни́ться,4,b
пересе́чь,8,b
обусла́вливать,1,a
взима́ть,1,a
предполага́ться,1,a
обя́зывать,1,a
обяза́ть,6,c
разверну́ть,3,b
капитули́ровать,2,a
ухудша́ться,1,a
подели́ться,4,c
а́хнуть,3,a
арендова́ть,2,a
ча́вкать,1,a
разъезжа́ть,1,a
награди́ть,4,b
засу́нуть,3,a
повы́сить,4,a
поручи́ть,4,c
засо́вывать,1,a
повыша́ть,1,a
утверди́ться,4,b
утвержда́ться,1,a
мобилизова́ть,2,a
пригна́ть,5,c
награжда́ть,1,a
жада́ть,1,a
поскри́пывать,1,a
взмоли́ться,4,c
закупи́ть,4,c
покрути́ть,4,c
опе́шить,4,a
завезти́,7,b
сотряса́ться,1,a
вы́тянуть,3,a
вытя́гивать,1,a
суети́ться,4,b
сотрясти́сь,7,b
вы́делиться,4,a
дава́ться,13,b
руково́дствоваться,2,a
излага́ть,1,a
да́ться,irreg,
столкну́ться,3,b
выделя́ться,1,a
ста́лкиваться,1,a
припада́ть,1,a
изложи́ть,4,c
завози́ть,4,c
активизи́ровать,2,a
припа́сть,7,b
прида́ть,irreg,
разочаро́вывать,1,a
испари́ться,4,b
испаря́ться,1,a
заболева́ть,1,a
урони́ть,4,c
охладе́ть,1,a
смести́,7,b
охлади́ть,4,b
зачита́ть,1,a
уговори́ться,4,b
роня́ть,1,a
угова́риваться,1,a
перепи́сываться,1,a
офо́рмить,4,a
сформирова́ться,2,a
отмежева́ться,1,a
вложи́ть,4,c
формирова́ться,2,a
рва́ться,6,b
оформля́ть,1,a
сформули́ровать,2,a
формули́ровать,2,a
вкла́дывать,1,a
отклоня́ть,1,a
прира́внивать,1,a
причисля́ть,1,a
вы́работать,1,a
отрабо́тать,1,a
прорабо́тать,1,a
согласо́вывать,1,a
яви́ть,4,c
вы́строить,4,a
насмотре́ть,5,c
достро́ить,4,a
настро́иться,4,a
пополня́ть,1,a
выстра́ивать,1,a
засиде́ться,5,b
выздора́вливать,1,a
влюби́ть,4,c
пробра́ться,6,b
бази́роваться,2,a
преуменьша́ть,1,a
проси́живать,1,a
подъя́ть,14,c
умилостивля́ть,1,a
надлежа́ть,5,b
уми́лостивить,4,a
увлека́ть,1,a
красова́ться,2,a
бира́ть,1,a
отягча́ть,1,a
распоряди́ться,4,b
суши́ть,4,c
бушева́ть,2,a
обнаро́довать,2,a
усугубля́ться,1,a
отте́чь,8,b
побесе́довать,2,a
подели́ть,4,c
пригоди́ться,4,b
запе́ть,12,b
вы́сказаться,6,a
обнару́житься,4,a
зае́хать,irreg,
контроли́роваться,2,a
закрыва́ться,1,a
обслу́живать,1,a
перебира́ть,1,a
констати́ровать,2,a
вре́заться,6,a
вреза́ться,1,a
упражня́ть,1,a
распи́сываться,1,a
огова́ривать,1,a
швыря́ть,1,a
наби́ть,11,b
наста́ть,15,a
освободи́ться,4,b
своди́ться,4,c
покачну́ть,3,b
размести́ть,4,b
напря́чь,8,b
кова́ться,2,b
потяну́ть,3,c
тяготе́ть,1,a
прижа́ть,14,b
повторя́ться,1,a
пробива́ть,1,a
покорми́ть,4,c
затащи́ть,4,c
приучи́ть,4,c
очища́ть,1,a
уныва́ть,1,a
поду́мывать,1,a
взду́мать,1,a
задыша́ть,5,c
разлучи́ть,4,b
перепеча́тать,1,a
заеда́ть,1,a
отпря́нуть,3,a
пронза́ть,1,a
изгна́ть,5,c
нахлы́нуть,3,a
заинтригова́ть,2,a
подбоче́ниваться,1,a
попира́ть,1,a
сража́ть,1,a
проня́нчить,4,a
проо́хать,1,a
смя́ть,14,b
долби́ть,4,b
возыме́ть,1,a
ся́кнуть,3,a
обогаща́ть,1,a
придержа́ть,5,c
паха́ть,6,c
хера́чить,4,a
проки́снуть,3,a
растека́ться,1,a
запуска́ть,1,a
обвива́ть,1,a
напряга́ть,1,a
штрафану́ть,3,b
нака́ливать,1,a
отпере́ть,9,b
раски́нуть,3,a
вда́вливаться,1,a
ужесточи́ть,4,b
понижа́ть,1,a
нала́живать,1,a
пони́зить,4,a
разлага́ть,1,a
разряди́ть,4,b
отверде́ть,1,a
переки́нуть,3,a
перебро́сить,4,a
лечи́ться,4,c
негодова́ть,2,a
рассмея́ться,6,b
плани́роваться,2,a
прошепта́ть,6,c
перебра́сывать,1,a
отвердева́ть,1,a
уста́виться,4,a
зафикси́ровать,2,a
обсужда́ться,1,a
предлага́ться,1,a
перевали́ть,4,c
растворя́ть,2,a
перева́ливать,1,a
просро́чить,4,a
перепра́вить,4,a
явля́ть,1,a
присво́ить,4,a
угна́ть,5,c
переправля́ть,1,a
разделя́ться,1,a
огова́риваться,1,a
отрави́ть,4,c
смеши́ть,4,b
отравля́ть,1,a
оговори́ться,4,b
семпли́ровать,2,a
вручи́ть,4,b
переки́дывать,1,a
вруча́ть,1,a
криви́ть,4,b
преподнести́,7,b
ополчи́ть,4,b
иронизи́ровать,2,a
всели́ть,4,b
стиха́ть,1,a
впусти́ть,4,c
отпра́здновать,2,a
затра́гиваться,1,a
связа́ться,6,c
пакова́ть,2,a
задева́ть,1,a
проверя́ться,1,a
расцвета́ть,1,a
захуя́рить,4,a
заре́зать,6,a
зареза́ть,1,a
впуска́ть,1,a
заде́ть,15,a
всколыхну́ть,3,b
пози́ровать,2,a
угляде́ть,5,b
не́жить,4,a
откопа́ть,1,a
обмы́ть,12,a
оживи́ть,4,b
отгада́ть,1,a
вы́здороветь,1,a
отремонти́ровать,2,a
почини́ть,4,c
отка́пывать,1,a
обменя́ть,1,a
уточи́ть,4,c
обрами́ть,4,a
бе́чь,8,b
сублими́ровать,2,a
сади́ть,4,c
обособля́ть,1,a
обосо́бить,4,a
обмыва́ть,1,a
отга́дывать,1,a
обме́нивать,1,a
уточни́ть,4,b
отме́титься,4,a
уточня́ть,1,a
снима́ться,1,a
отмеча́ться,1,a
пострада́ть,1,a
прода́ться,irreg,
продава́ться,13,b
сня́ться,14,c
сбы́ть,irreg,
сорва́ть,6,b
убыва́ть,1,a
рокота́ть,6,c
вы́топить,4,a
срыва́ть,1,a
установи́ться,4,c
послужи́ть,4,c
заста́ть,15,a
устана́вливаться,1,a
свети́ться,4,c
запусти́ть,4,c
подоба́ть,1,a
наме́тить,4,a
намеча́ть,1,a
восходи́ть,4,c
выта́пливать,1,a
попо́ртить,4,a
обгрыза́ть,1,a
обозрева́ть,1,a
обгры́зть,7,b
обозре́ть,5,b
прейти́,irreg,
согре́ть,12,a
вы́смеять,6,a
тача́ть,1,a
зары́ть,12,a
зарыва́ть,1,a
высме́ивать,1,a
выправля́ть,1,a
оплета́ть,1,a
лосни́ться,4,b
вы́править,4,a
оплести́,7,b
бокси́ровать,2,a
заси́живаться,1,a
пиздя́чить,4,a
ловчи́ть,4,b
раздели́ться,4,c
кале́чить,4,a
полива́ть,1,a
проби́ть,11,b
пресе́чь,8,b
прижима́ть,1,a
преуспе́ть,1,a
преуспева́ть,1,a
пресека́ть,1,a
серебри́ть,4,b
си́литься,4,a
размеща́ть,1,a
созыва́ть,1,a
истека́ть,1,a
исте́чь,8,b
тупи́ть,4,b
ту́пить,4,a
расте́чься,8,b
рукоблу́дничать,1,a
претвори́ть,4,b
вы́лезти,7,a
подчини́ться,4,b
претворя́ть,1,a
подчиня́ться,1,a
восприня́ться,14,c
закрепля́ть,1,a
пребы́ть,irreg,
воспринима́ться,1,a
пребыва́ть,1,a
утоми́ть,4,b
источа́ть,1,a
забива́ть,1,a
приволо́чь,8,b
уня́ть,14,b
вы́толкнуть,3,a
отыгра́ть,1,a
прослужи́ть,4,c
сры́ться,12,a
ознако́мить,4,a
рассла́бить,4,a
посмея́ться,6,b
заме́шкаться,1,a
нали́ться,11,b
прибе́гнуть,3,a
выта́лкивать,1,a
проби́ться,11,b
увенча́ть,1,a
уси́ливать,1,a
уложи́ться,4,c
заполня́ться,1,a
пробива́ться,1,a
зарази́ть,4,b
закрепи́ть,4,b
затопи́ть,4,c
вы́толкать,1,a
запо́лниться,4,a
вле́чь,8,b
искупа́ться,1,a
испо́ртиться,4,a
заража́ть,1,a
вытека́ть,1,a
заби́ть,11,b
срыва́ться,1,a
оты́грывать,1,a
ознакомля́ть,1,a
расслабля́ть,1,a
приручи́ть,4,b
свести́сь,7,b
тучне́ть,1,a
трено́жить,4,a
сочета́ть,1,a
взба́лтывать,1,a
прибега́ть,1,a
подчиня́ть,1,a
сотвори́ть,4,b
ме́рять,1,a
взболта́ть,1,a
прируча́ть,1,a
подчини́ть,4,b
расстегну́ть,3,b
отстегну́ть,3,b
пристегну́ть,3,b
вгля́дываться,1,a
застегну́ть,3,b
спусти́ть,4,c
спуска́ть,1,a
перехвати́ть,4,c
огляде́ть,5,b
крути́ться,4,c
пошевели́ть,4,b
расстёгивать,1,a
отстёгивать,1,a
перехва́тывать,1,a
застёгивать,1,a
пошевели́ться,4,b
огля́дывать,1,a
сорва́ться,6,b
шевели́ться,4,b
шевели́ть,4,b
завали́ть,4,c
пристёгивать,1,a
туши́ть,4,c
увя́нуть,3,a
подстри́чь,8,b
сгрузи́ть,4,c
устарева́ть,1,a
обоня́ть,1,a
призре́ть,5,c
превозноси́ть,4,c
пригляде́ться,5,b
разли́ть,11,b
приуча́ть,1,a
вспомина́ться,1,a
разлива́ть,1,a
перескочи́ть,4,c
превознести́,7,b
подстрига́ть,1,a
переска́кивать,1,a
благоуха́ть,1,a
наделя́ть,1,a
пригля́дываться,1,a
вспо́мниться,4,a
сгружа́ть,1,a
надели́ть,4,b
перегрузи́ть,4,c
сочи́ться,4,b
перегружа́ть,1,a
рукоде́льничать,1,a
перевари́ть,4,c
отвора́чиваться,1,a
чаёвничать,1,a
чревоуго́дничать,1,a
отстро́ить,4,a
призрева́ть,1,a
изъясни́ть,4,b
устаре́ть,1,a
вгрыза́ться,1,a
обруча́ть,1,a
вгры́зться,7,b
застро́ить,4,a
группирова́ть,2,a
отстра́ивать,1,a
обручи́ть,4,b
перева́ривать,1,a
отпу́гивать,1,a
дотяну́ть,3,c
дотя́гивать,1,a
изучи́ться,4,c
сгруппирова́ть,2,a
вте́чь,8,b
востре́бовать,2,a
обдели́ть,4,c
вы́грузить,4,a
отпугну́ть,3,b
обделя́ть,1,a
втека́ть,1,a
прислоня́ться,1,a
выгружа́ть,1,a
оте́чь,8,b
поставля́ться,1,a
провоци́ровать,2,a
преходи́ть,4,c
отека́ть,1,a
оты́лить,4,a
скрести́ть,4,b
навью́чивать,1,a
обла́мывать,1,a
ожесточи́ть,4,b
ня́нчить,4,a
шля́ться,1,a
навью́чить,4,a
ожесточа́ть,1,a
скре́щивать,1,a
ча́ять,6,a
проте́чь,8,b
заруча́ться,1,a
набежа́ть,5,b
толпи́ться,4,b
сёрпать,1,a
сгора́ть,1,a
заручи́ться,4,b
набе́гать,1,a
набега́ть,1,a
протека́ть,1,a
наня́ться,14,b
расчленя́ть,1,a
сме́шивать,1,a
наду́мать,1,a
попо́лнить,4,a
расчлени́ть,4,b
нанима́ться,1,a
встро́ить,4,a
нагрузи́ть,4,c
бу́ркнуть,3,a
нагружа́ть,1,a
смеша́ть,1,a
созва́ть,6,b
прижа́ться,14,b
прижима́ться,1,a
навы́кнуть,3,a
поясни́ться,4,b
переду́мывать,1,a
обзаты́ливать,1,a
загрузи́ть,4,c
пригоре́ть,5,b
прогрева́ть,1,a
отсе́ивать,1,a
вре́зать,6,a
вреза́ть,1,a
пригора́ть,1,a
прогре́ть,12,a
отсе́ять,6,a
уцеле́ть,1,a
зажа́рить,4,a
осве́домиться,4,a
осведомля́ться,1,a
пригре́ть,12,a
обже́чь,8,b
оберега́ть,1,a
стрено́живать,1,a
зажа́ривать,1,a
обжига́ть,1,a
уси́лить,4,a
убы́ть,irreg,
разду́мывать,1,a
уве́нчивать,1,a
укла́дываться,1,a
обогре́ть,12,a
обогрева́ть,1,a
сдви́нуть,3,a
вцепи́ться,4,c
пови́снуть,3,a
занести́,7,b
заноси́ть,4,c
покоси́ться,4,b
разогре́ть,12,a
надуши́ть,4,c
отгружа́ть,1,a
бли́зиться,4,a
отгрузи́ть,4,c
разогрева́ть,1,a
взви́ться,11,b
швырну́ть,3,b
вы́лепить,4,a
наклоня́ться,1,a
склони́ться,4,c
удержа́ть,5,c
склоня́ться,1,a
де́ться,15,a
дева́ться,1,a
взвива́ться,1,a
ло́пнуть,3,a
ло́паться,1,a
потерпе́ть,5,c
переспроси́ть,4,c
обре́чь,8,b
отвезти́,7,b
отвози́ть,4,c
приоткры́ть,12,a
засты́нуть,3,a
приоткрыва́ть,1,a
лепи́ть,4,c
обезно́жеть,1,a
тормоши́ть,4,b
отли́ть,11,b
выруча́ть,1,a
вы́ручить,4,a
отлива́ть,1,a
отзыва́ться,1,a
поиска́ть,6,c
хму́риться,4,a
нахму́риться,4,a
разорва́ть,6,b
отбра́сывать,1,a
пока́чиваться,1,a
сопровожда́ться,1,a
отбро́сить,4,a
осты́нуть,3,a
удали́ться,4,b
остыва́ть,1,a
удаля́ться,1,a
застыва́ть,1,a
мета́ться,6,c
щу́риться,4,a
жму́риться,4,a
уравнове́сить,4,a
уравнове́шивать,1,a
пита́ться,1,a
припаркова́ть,2,a
угро́бить,4,a
доду́мать,1,a
съезжа́ться,1,a
съе́хаться,irreg,
доду́мывать,1,a
обезно́жить,4,a
отвле́чься,8,b
выраба́тывать,1,a
отвлека́ться,1,a
дожи́ть,16,b
поднести́,7,b
вы́кинуть,3,a
подави́ть,4,c
подавля́ть,1,a
выки́дывать,1,a
блоки́ровать,2,a
подноси́ть,4,c
прикова́ть,2,b
прико́вывать,1,a
утону́ть,3,c
рассерди́ться,4,c
откли́кнуться,3,a
отклика́ться,1,a
пода́ться,irreg,
забра́ться,6,b
забира́ться,1,a
вы́ложить,4,a
води́ться,4,c
выкла́дывать,1,a
помо́рщиться,4,a
отпира́ть,1,a
охлажда́ть,1,a
разъясни́ть,4,b
разъя́снить,4,a
спры́гнуть,3,a
зараста́ть,1,a
зарасти́,7,b
прислу́шаться,1,a
спры́гивать,1,a
разъясня́ть,1,a
обзаты́лить,4,a
упере́ть,9,b
упира́ть,1,a
трено́житься,4,a
поползти́,7,b
спохвати́ться,4,c
доду́маться,1,a
спохва́тываться,1,a
схвати́ться,4,c
доду́мываться,1,a
чмо́кнуть,3,a
тя́вкнуть,3,a
прикры́ться,12,a
чмо́кать,1,a
обслужи́ть,4,c
тя́вкать,1,a
прикрыва́ться,1,a
оду́маться,1,a
наката́ть,1,a
сори́ть,4,b
присыла́ть,1,a
нака́тывать,1,a
столпи́ться,4,b
бра́жничать,1,a
пита́ть,1,a
приручи́ться,4,b
прируча́ться,1,a
заму́читься,4,a
застрели́ть,4,c
нарасти́,7,b
вы́глянуть,3,a
отнести́сь,7,b
нараста́ть,1,a
выгля́дывать,1,a
перечисля́ть,1,a
перечи́слить,4,a
поспеши́ть,4,b
кероси́нить,4,a
оборва́ть,6,b
обрыва́ть,1,a
пробежа́ть,5,b
сде́рживать,1,a
запомина́ться,1,a
запо́мниться,4,a
хлы́нуть,3,a
исче́рпать,1,a
подда́ться,irreg,
поддава́ться,13,b
кали́ться,4,b
раскали́ть,4,b
стека́ться,1,a
разгрузи́ть,4,c
разгружа́ть,1,a
зака́ливать,1,a
мерца́ть,1,a
раска́ливать,1,a
выка́ливать,1,a
ста́пливать,1,a
перека́ливать,1,a
выкаля́ть,1,a
кара́ть,1,a
хвати́ться,4,c
накали́ть,4,b
наре́чь,8,b
израсхо́довать,2,a
набива́ть,1,a
выме́нивать,1,a
расхо́довать,2,a
расчёсывать,1,a
кали́ть,4,b
вы́резать,6,a
выреза́ть,1,a
выканю́чивать,1,a
стопи́ть,4,c
вы́менять,1,a
нарека́ть,1,a
покара́ть,1,a
сте́чься,8,b
расчеса́ть,6,c
хвата́ться,1,a
заши́ть,11,b
зашива́ть,1,a
линя́ть,1,a
эксплуати́ровать,2,a
обле́гчить,4,b
криви́ться,4,b
убива́ться,1,a
рыда́ть,1,a
уби́ться,11,b
поброса́ть,1,a
завора́живать,1,a
пересади́ть,4,c
переса́живать,1,a
заворожи́ть,4,b
пну́ть,3,b
пина́ть,1,a
очи́стить,4,a
сбы́ться,irreg,
сбыва́ться,1,a
лака́ть,1,a
ласка́ть,1,a
исполня́ться,1,a
испо́лниться,4,a
передава́ться,13,b
сочини́ть,4,b
переда́ться,irreg,
цари́ть,4,b
допуска́ться,1,a
шантажи́ровать,2,a
осво́ить,4,a
отряхну́ть,3,b
налака́ться,1,a
порабо́тать,1,a
разраба́тываться,1,a
взры́ть,12,a
отря́хивать,1,a
наве́ять,6,a
разрабо́таться,1,a
навева́ть,1,a
бели́ть,4,c
взрыва́ть,1,a
покоря́ть,1,a
задра́ть,6,b
покори́ть,4,b
мы́слиться,4,a
подбежа́ть,5,b
сосла́ться,6,b
сосла́ть,6,b
воздвига́ть,1,a
сойти́сь,irreg,
ссыла́ть,1,a
заверша́ться,1,a
ссыла́ться,1,a
затяну́ться,3,c
заверши́ться,4,b
сходи́ться,4,c
съе́здить,4,a
воздви́гнуть,3,a
подбега́ть,1,a
пробега́ть,1,a
пробе́гать,1,a
ориенти́ровать,2,a
ли́пнуть,3,a
зачерпну́ть,3,b
заче́рпывать,1,a
угомони́ться,4,b
напе́чь,8,b
дыми́ться,4,b
болта́ться,1,a
поплы́ть,16,b
прокрути́ть,4,c
угоди́ть,4,b
подгора́ть,1,a
завя́зывать,1,a
натяну́ть,3,c
рвану́ться,3,b
натя́гивать,1,a
свали́ть,4,c
завяза́ть,6,c
прокру́чивать,1,a
пробира́ться,1,a
офонаре́ть,1,a
фонаре́ть,1,a
подгоре́ть,5,b
пьяне́ть,1,a
опьяне́ть,1,a
све́ситься,4,a
переполня́ть,1,a
све́шиваться,1,a
перепо́лнить,4,a
зли́ться,4,b
опресня́ть,1,a
верте́ться,5,c
покачну́ться,3,b
зафре́ндить,4,a
привива́ть,1,a
разнима́ть,1,a
тро́нуться,3,a
поблёкнуть,3,a
отмыва́ть,1,a
тро́гаться,1,a
опресни́ть,4,b
прорва́ться,6,b
блёкнуть,3,a
отмы́ть,12,a
разня́ть,14,c
разоблача́ть,1,a
приви́ть,11,b
разоблачи́ть,4,b
споткну́ться,3,b
спотыка́ться,1,a
докопа́ться,1,a
пере́ть,9,b
вы́думать,1,a
нагну́ться,3,b
нагиба́ться,1,a
выду́мывать,1,a
посели́ться,4,b
дока́пываться,1,a
сели́ться,4,c
у́хнуть,3,a
вскри́кивать,1,a
вы́сунуться,3,a
натыка́ться,1,a
наткну́ться,3,b
высо́вываться,1,a
вскрича́ть,5,b
вскри́кнуть,3,a
у́хать,1,a
остуди́ть,4,c
побагрове́ть,1,a
поощря́ться,1,a
раскопа́ть,1,a
дежу́рить,4,a
отме́рить,4,a
разложи́ть,4,c
прибежа́ть,5,b
перегля́дываться,1,a
окроши́ть,4,c
перегляну́ться,3,c
багрове́ть,1,a
раска́пывать,1,a
спря́чь,8,b
размести́,7,b
помча́ться,5,b
попроща́ться,1,a
просиде́ть,5,b
цепля́ться,1,a
загна́ть,5,c
рассы́паться,6,a
рассыпа́ться,1,a
нагнета́ть,1,a
загоня́ть,1,a
навести́ть,4,b
ворва́ться,6,b
врыва́ться,1,a
угнета́ть,1,a
мча́ть,5,b
нагнести́,7,b
насма́тривать,1,a
залепи́ть,4,c
сгни́ть,12,b
вы́тянуться,3,a
отодви́нуть,3,a
разыска́ть,6,c
вытя́гиваться,1,a
сдвига́ть,1,a
отодвига́ть,1,a
залепля́ть,1,a
гре́зить,4,a
раздави́ть,4,c
прихва́тывать,1,a
прихвати́ть,4,c
удовлетворя́ться,1,a
что́кать,1,a
удовлетвори́ться,4,b
помаха́ть,6,c
распахну́ться,3,b
вы́прямиться,4,a
вы́прямить,4,a
вски́нуть,3,a
вы́хватить,4,a
отки́нуть,3,a
по́мниться,4,a
перебира́ться,1,a
перебра́ться,6,b
лиши́ться,4,b
лиша́ться,1,a
сказа́ться,6,c
овладе́ть,1,a
выполня́ться,1,a
не́рвничать,1,a
отры́гивать,1,a
отрыгну́ть,3,b
расцвести́,7,b
поли́ть,11,b
насмеха́ться,1,a
ота́пливать,1,a
массажи́ровать,2,a
мочи́ть,4,c
страхова́ть,2,a
подави́ться,4,c
озя́бнуть,3,a
дави́ться,4,c
захлебну́ться,3,b
захлёбываться,1,a
зя́бнуть,3,a
вы́копать,1,a
расчи́стить,4,a
мёрзнуть,3,a
ду́маться,1,a
укрепи́ть,4,b
соверши́ться,4,b
характеризова́ться,2,a
довести́сь,7,b
соверша́ться,1,a
проде́лать,1,a
укрепля́ть,1,a
оснасти́ть,4,b
ликвиди́ровать,2,a
вы́вихнуть,3,a
изби́ть,11,b
избива́ть,1,a
повстреча́ть,1,a
вле́чься,8,b
повстреча́ться,1,a
прикупи́ть,4,c
разре́зать,6,a
разреза́ть,1,a
вы́писать,6,a
ста́виться,4,a
колоти́ть,4,c
прописа́ть,6,c
либера́льничать,1,a
хуя́чить,4,a
хуя́рить,4,a
влепи́ть,4,c
вы́сушить,4,a
вскипе́ть,5,b
промя́млить,4,a
нави́снуть,3,a
налепи́ть,4,c
хули́ть,4,b
переси́лить,4,a
познако́мить,4,a
знако́мить,4,a
налепля́ть,1,a
уны́ть,12,a
удоста́ивать,1,a
вы́садить,4,a
рои́ть,4,b
удосто́ить,4,a
сгусти́ть,4,b
растерза́ть,1,a
выса́живать,1,a
оплати́ть,4,c
смотре́ться,5,c
сознава́ть,13,b
вскипа́ть,1,a
пове́дать,1,a
ограни́чиваться,1,a
вы́кипеть,5,a
возобнови́ть,4,b
сгуща́ть,1,a
возложи́ть,4,c
возобновля́ть,1,a
расте́рзывать,1,a
вбива́ть,1,a
писа́ться,6,c
пи́саться,1,a
рде́ть,1,a
выкипа́ть,1,a
терза́ть,1,a
закипа́ть,1,a
дубли́ровать,2,a
сбрива́ть,1,a
съе́хать,irreg,
колба́сить,4,a
све́ргнуть,3,a
щипа́ть,6,c
обору́довать,2,a
приколо́ться,10,c
горячи́ться,4,b
пыта́ть,1,a
съезжа́ть,1,a
закипе́ть,5,b
шмы́гать,1,a
перекипа́ть,1,a
перекипе́ть,5,b
вре́ть,1,a
порыба́чить,4,a
рои́ться,4,b
прикипа́ть,1,a
прикипе́ть,5,b
обува́ть,1,a
вихри́ть,4,b
заду́мывать,1,a
обу́ть,12,a
хире́ть,1,a
вы́везти,7,a
снижа́ться,1,a
теря́ться,1,a
обжа́ть,14,b
обыска́ть,6,c
выска́бливать,1,a
оты́скивать,1,a
срабо́тать,1,a
зака́лывать,1,a
сраба́тывать,1,a
обуя́ть,1,a
заколо́ть,10,c
приши́ть,11,b
безде́льничать,1,a
затверди́ть,4,b
сни́зиться,4,a
упомяну́ться,3,c
упомина́ться,1,a
репети́ровать,2,a
пришива́ть,1,a
обуева́ть,1,a
тверди́ть,4,b
уколо́ть,10,c
кольну́ть,3,b
расколо́ть,10,c
замкну́ть,3,b
расположи́ться,4,c
раска́лывать,1,a
проезжа́ть,1,a
нае́хать,irreg,
наезжа́ть,1,a
подки́нуть,3,a
выгружа́ться,1,a
разъе́хаться,irreg,
разве́дывать,1,a
разъезжа́ться,1,a
разве́дать,1,a
отъезжа́ть,1,a
отъе́хать,irreg,
распростере́ть,9,b
распростира́ть,1,a
вы́грузиться,4,a
оцени́ться,4,c
заезжа́ть,1,a
оце́ниваться,1,a
помести́ться,4,b
прояви́ться,4,c
внуши́ть,4,b
внуша́ть,1,a
помеща́ться,1,a
принужда́ть,1,a
сократи́ться,4,b
обру́шиться,4,a
подста́вить,4,a
ограни́читься,4,a
обру́шить,4,a
ска́зываться,1,a
припо́мнить,4,a
принуди́ть,4,a
обру́шивать,1,a
сплани́ровать,2,a
припомина́ть,1,a
носи́ться,4,c
снести́,7,b
заплани́ровать,2,a
помяну́ть,3,c
обру́шиваться,1,a
сна́шивать,1,a
уплати́ть,4,c
преодолева́ть,1,a
упла́чивать,1,a
опла́чивать,1,a
подставля́ть,1,a
изыма́ть,1,a
сноси́ть,4,c
порва́ть,6,b
помина́ть,1,a
изъя́ть,14,b
пости́чь,3,a
постига́ть,1,a
пости́гнуть,3,a
хмы́кать,1,a
